"","MATIARI CONVERTER STATION (MCS)...1","...2","...3","...4","...5","...6","...7","...8","...9","...10","...11","...12","...13","...14","...15","...16","...17","...18","...19","...20","...21","...22","...23","...24","...25","...26","...27","...28","...29"
"1","Date","Day","0100","0200","0300","0400","0500","0600","0700","0800","0900","1000","1100","1200","1300","1400","1500","1600","1700","1800","1900","2000","2100","2200","2300","2400","Calculated Energy (GWH)","MAX.","MIN."
"2","1","MON","400","400","400","400","400","400","400","400","400","400","400","400","400","400","400","400","400","400","400","400","400","400","400","400","9.6","400","400"
"3","2","TUE","200","200","200","200","200","200","200","200","200","200","200","400","400","400","400","400","400","400","200","200","200","200","200","200","6.2","400","200"
"4","3","WED","200","200","200","200","200","200","200","200","200","400","400","400","400","400","400","400","400","400","400","400","400","400","400","400","7.8","400","200"
"5","4","THU","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","600","600","600","200","200","200","0","0","0","5.4","600","0"
"6","5","FRI","0","0","0","200","400","400","400","400","400","400","400","400","400","400","400","800","800","800","800","800","800","800","800","800","11.8","800","0"
"7","6","SAT","800","800","800","800","800","800","800","800","800","400","400","400","400","400","400","400","400","800","800","800","800","800","800","800","16","800","400"
"8","7","SUN","800","400","200","200","200","200","200","400","400","400","400","400","400","700","1100","1100","1500","1500","1500","800","800","800","800","800","16","1500","200"
"9","8","MON","800","400","400","400","400","800","800","800","800","800","800","800","800","800","800","1000","1000","1000","1000","1000","700","400","400","400","17.3","1000","400"
"10","9","TUE","400","400","400","400","400","1000","1000","1000","1000","1000","1000","1000","1000","1000","1200","1200","1200","1500","1500","1500","1500","1000","1000","1600","24.2","1600","400"
"11","10","WED","1600","1600","1600","1600","1000","1000","1500","1500","1500","1500","1500","1500","1500","1500","1500","1600","1600","1600","1600","1600","1600","1600","1600","1600","36.299999999999997","1600","1000"
"12","11","THU","1600","1200","1200","1200","1200","1400","1400","1800","1500","1500","1500","2000","2000","2000","2000","2000","2000","2000","2000","2000","2000","2000","1600","1600","40.700000000000003","2000","1200"
"13","12","FRI","1600","1600","1600","1600","1800","1800","1800","1800","2000","2000","2000","2000","2000","2000","2000","2000","2000","2000","2000","2000","2000","2000","2000","2000","45.6","2000","1600"
"14","13","SAT","2000","2000","2000","2000","1800","1600","1600","1600","1600","1600","1600","2000","2000","2000","2500","2500","2500","2500","2500","2000","2000","2000","2000","2000","47.9","2500","1600"
"15","14","SUN","2000","2000","2000","2000","2000","2000","2000","2000","2000","2000","2000","2000","2000","2000","2000","2000","2000","2000","2000","2000","2000","2400","2400","2400","49.2","2400","2000"
"16","15","MON","2400","2400","2500","2500","2000","2000","2000","2500","2500","2500","2500","2500","2500","2500","2500","2500","2500","2500","2500","2500","2500","2500","2500","2500","58.3","2500","2000"
"17","16","TUE","2500","2000","2000","2000","2000","2000","2000","2500","2500","2500","2500","2500","2500","2500","2500","2500","2500","2500","2500","2500","2500","2500","2500","2500","57","2500","2000"
"18","17","WED","2550","2550","2550","2550","2550","2550","2550","2550","2550","2550","2550","2550","2550","2550","2500","2500","2500","2500","2500","1800","400","200","200","600","51.4","2550","200"
"19","18","THU","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20","19","FRI","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"21","20","SAT","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"22","21","SUN","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"23","22","MON","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"24","23","TUE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"25","24","WED","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"26","25","THU","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"27","26","FRI","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"28","27","SAT","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"29","28","SUN","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"30","29","MON","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"31","30","TUE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"32","31","WED","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
