"TIME","FREQUENCY","color"
"24:00",50,"lightblue"
"00:15",50,"lightblue"
"00:30",50.22,"lightblue"
"00:45",50.16,"lightblue"
"01:00",50.08,"lightblue"
"01:15",50.13,"lightblue"
"01:30",50.21,"lightblue"
"01:45",49.92,"lightblue"
"02:00",49.96,"lightblue"
"02:15",49.93,"lightblue"
"02:30",50.23,"lightblue"
"02:45",50.3,"lightblue"
"03:00",49.8,"lightblue"
"03:15",49.8,"lightblue"
"03:30",49.95,"lightblue"
"03:45",49.85,"lightblue"
"04:00",49.98,"lightblue"
"04:15",50,"lightblue"
"04:30",50.22,"lightblue"
"04:45",50.16,"lightblue"
"05:00",50.13,"lightblue"
"05:15",50.21,"lightblue"
"05:30",49.92,"lightblue"
"05:45",49.96,"lightblue"
"06:00",49.93,"lightblue"
"06:15",50.23,"lightblue"
"06:30",50.3,"lightblue"
"06:45",49.8,"lightblue"
"07:00",50.35,"lightblue"
"07:15",49.85,"lightblue"
"07:30",49.98,"lightblue"
"07:45",50.33,"lightblue"
"08:00",50.05,"lightblue"
"08:15",50.22,"lightblue"
"08:30",50.08,"lightblue"
"08:45",50.29,"lightblue"
"09:00",50.13,"lightblue"
"09:15",49.98,"lightblue"
"09:30",49.62,"lightblue"
"09:45",50.13,"lightblue"
"10:00",50.21,"lightblue"
"10:15",49.92,"lightblue"
"10:30",49.96,"lightblue"
"10:45",49.93,"lightblue"
"11:00",50.23,"lightblue"
"11:15",50.3,"lightblue"
"11:30",49.8,"lightblue"
"11:45",50.35,"lightblue"
"12:00",49.85,"lightblue"
"12:15",49.98,"lightblue"
"12:30",50,"lightblue"
"12:45",49.85,"lightblue"
"13:00",50.06,"lightblue"
"13:15",49.98,"lightblue"
"13:30",50.19,"lightblue"
"13:45",50.15,"lightblue"
"14:00",49.97,"lightblue"
"14:15",49.9,"lightblue"
"14:30",50.23,"lightblue"
"14:45",50.3,"lightblue"
"15:00",49.8,"lightblue"
"15:15",50.35,"lightblue"
"15:30",50.11,"lightblue"
"15:45",49.9,"lightblue"
"16:00",50.23,"lightblue"
"16:15",50.3,"lightblue"
"16:30",49.8,"lightblue"
"16:45",49.9,"lightblue"
"17:00",50.23,"lightblue"
"17:15",50.3,"lightblue"
"17:30",50.29,"lightblue"
"17:45",50.13,"lightblue"
"18:00",49.8,"lightblue"
"18:15",49.8,"lightblue"
"18:30",49.95,"lightblue"
"18:45",49.85,"lightblue"
"19:00",50.3,"lightblue"
"19:15",49.8,"lightblue"
"19:30",50.35,"lightblue"
"19:45",50.11,"lightblue"
"20:00",49.9,"lightblue"
"20:15",50.23,"lightblue"
"20:30",50.3,"lightblue"
"20:45",49.8,"lightblue"
"21:00",49.9,"lightblue"
"21:15",50.1,"lightblue"
"21:30",50,"lightblue"
"21:45",49.98,"lightblue"
"22:00",49.62,"lightblue"
"22:15",50.06,"lightblue"
"22:30",49.93,"lightblue"
"22:45",50.06,"lightblue"
"23:00",50.2,"lightblue"
"23:15",50.07,"lightblue"
"23:30",49.94,"lightblue"
"23:45",49.99,"lightblue"
