"Plant","gas_allocated","gas_consumed","energy_generated"
"HCPC",0,0,0
"UCH - I",232.96,188.964,11543000
"LIBERTY POWER",45,48.156,5055000
"ENGRO POWER",30,29.844,2221090
"FOUNDATION",65,57.95,3941640
"GUDDU",250,137.315,10376200
"UCH - II",180,125.08,8122270
"BHIKKI",0,0,0
"BALLOKI",133,150.312,22579800
"H.B.SHAH",145,159.72,24478600
"SAIF POWER",15,12.4309,1340360
"ORIENT POWER",25,27.0018,3128460
"SAPPHIRE",25,26.8103,3075910
"HALMORE",25,25.566,2912950
"NANDI PUR",45,50.39,5984300
"KAPCO",0,0,0
"ROUSCH",0,0,0
"FKPCL",27,25.26,2911000
"AEL",0,0,0
"PUNJAB THERMAL",85,90.73,13525700
"JAMSHORO",0,0,0
"M/GARH",0,0,0
"QUETTA",0,0,0
"GTPS FBD",0,0,0
"SPS",0,0,0
"MULTAN",0,0,0
